numberOfOccurrences;species;taxonKey;intraSpeciesPercentage
497822;Hedera helix;8351737;99.66
476014;Dactylis glomerata;2705308;100.0
470946;Crataegus monogyna;9220780;85.6
459244;Urtica dioica;7960979;96.21
448332;Corylus avellana;2875979;100.0
445779;Fraxinus excelsior;3172358;90.54
434162;Plantago lanceolata;8208358;43.85
403850;Fagus sylvatica;2882316;100.0
362375;Prunus spinosa;3023221;43.19
354989;Cornus sanguinea;3082234;87.03
350018;Achillea millefolium;3120060;78.9
340097;Trifolium pratense;8324121;25.45
325364;Quercus robur;2878688;37.54
314766;Trifolium repens;5358748;23.55
314491;Ranunculus repens;3033339;26.63
312257;Lotus corniculatus;5357013;52.69
305180;Hypericum perforatum;3189486;46.99
304320;Poterium sanguisorba;5364245;98.13
301534;Arrhenatherum elatius;2704505;96.24
296736;Holcus lanatus;2706164;77.41
296577;Geranium robertianum;2890668;28.92
293740;Daucus carota;3034742;99.08
290433;Ligustrum vulgare;3172300;98.47
286306;Cirsium arvense;3113414;34.18
286168;Carpinus betulus;2875818;100.0
285150;Geum urbanum;5369652;80.17
282076;Galium aparine;2913548;24.02
279343;Heracleum sphondylium;3034830;93.45
276850;Plantago major;3189767;27.96
273676;Glechoma hederacea;2926557;100.0
266687;Acer campestre;3189863;38.14
261832;Potentilla reptans;5367273;30.98
260549;Carex flacca;2727938;12.01
250116;Bromus erectus;7647071;29.58
246736;Calystegia sepium;2928441;96.92
245948;Sambucus nigra;2888728;66.79
245649;Anthoxanthum odoratum;2705975;94.12
244252;Acer pseudoplatanus;3189870;34.93
243824;Ranunculus acris;3033363;20.64
242654;Clematis vitalba;3033558;84.83
240306;Lonicera periclymenum;5334277;47.72
239211;Brachypodium sylvaticum;5290146;45.44
234326;Juniperus communis;2684709;74.59
229758;Prunella vulgaris;5341297;76.88
227418;Lapsana communis;3134857;100.0
227114;Pteridium aquilinum;5275012;100.0
226719;Poa trivialis;8300875;23.63
225563;Lolium perenne;2706241;40.33
225079;Bromus sterilis;2703647;26.62
224562;Rumex acetosa;2888951;24.28
223452;Fragaria vesca;3029817;95.37
218895;Eupatorium cannabinum;5402943;100.0
218151;Ilex aquifolium;5414222;100.0
217699;Convolvulus arvensis;2928390;85.08
216399;Brachypodium pinnatum;5290142;41.11
214790;Dryopteris filix-mas;5275132;52.62
214158;Poa annua;2704179;22.32
213701;Pilosella officinarum;9458333;76.07
213447;Teucrium scorodonia;2926901;39.33
213424;Juncus effusus;2701311;25.58
211271;Medicago lupulina;2965201;42.58
210142;Prunus avium;3020791;25.04
209494;Avenella flexuosa;4149465;100.0
207839;Euonymus europaeus;3169131;97.22
201104;Cirsium vulgare;3112801;24.01
199049;Hypochaeris radicata;3093702;91.2
199049;Alnus glutinosa;2876213;81.17
197569;Bellis perennis;3117424;94.66
195656;Viburnum lantana;2888615;50.37
195600;Ajuga reptans;2927078;77.3
194968;Veronica chamaedrys;7874883;18.55
193438;Senecio vulgaris;3108983;51.5
192746;Primula veris;8377689;51.98
192655;Filipendula ulmaria;2987999;88.57
192343;Quercus pubescens;2881283;22.19
192279;Betula pendula;5331916;77.89
191459;Lythrum salicaria;3188736;82.0
191248;Alliaria petiolata;5376075;100.0
190637;Polygonum aviculare;7821030;94.6
188522;Artemisia vulgaris;3120946;62.34
188268;Lolium arundinaceum;2706231;33.67
187137;Agrostis stolonifera;2706435;41.19
186721;Sonchus asper;3105782;49.57
184901;Cytisus scoparius;5354656;81.97
183815;Lathyrus pratensis;5356701;40.61
180230;Silene latifolia;5384805;23.48
179577;Euphorbia cyparissias;3070106;18.22
178719;Quercus petraea;2880130;20.62
178639;Calluna vulgaris;2882482;100.0
178447;Papaver rhoeas;2888443;74.68
176646;Agrostis capillaris;2706490;38.88
174842;Ulmus minor;5361865;83.76
